CTSA (parent award),City,State,Hub_Zip,Zip+4,lat,lon,abbreviation
UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,90089,90089-4304,34.022,-118.2892,LosAngeles90089
UNIVERSITY OF CALIFORNIA LOS ANGELES,Los Angeles,CA,90095,90095-2000,34.065894,-118.443361,LosAngeles90095
SCRIPPS RESEARCH INSTITUTE,La Jolla,CA,92037,92037-1000,32.895932,-117.242428,LaJolla92037
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",La Jolla,CA,92093,92093-0621,32.875175,-117.23589,LaJolla92093
UNIVERSITY OF CALIFORNIA-IRVINE,Irvine,CA,92697,92697-0001,33.647124,-117.842132,Irvine92697
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",San Francisco,CA,94143,94143-2510,37.767417,-122.390322,SanFrancisco94143
STANFORD UNIVERSITY,Redwood City,CA,94305,94305-2004,37.42,-122.17,RedwoodCity94305
UNIVERSITY OF CALIFORNIA AT DAVIS,Davis,CA,95618,95618-6153,38.5189,-121.6511,Davis95618
OREGON HEALTH & SCIENCE UNIVERSITY,Portland,OR,97239,97239-3098,45.500037,-122.687268,Portland97239
UNIVERSITY OF WASHINGTON,Seattle,WA,98195,98195-9472,47.6509,-122.3084,Seattle98195
